age;job;marital;education;balance;housing;loan;contact;duration;campaign;result
35;blue-collar;single;secondary;12223;1;1;unknown;177;1;0
57;blue-collar;married;secondary;5935;1;1;unknown;258;1;0
31;services;married;secondary;25;1;1;unknown;172;1;0
54;management;married;secondary;282;1;1;unknown;154;1;0
55;blue-collar;married;primary;23;1;0;unknown;291;1;0
43;technician;married;secondary;1937;1;0;unknown;181;1;0
53;technician;married;secondary;384;1;0;unknown;176;1;0
44;blue-collar;married;secondary;582;0;1;unknown;211;1;0
55;services;divorced;secondary;91;0;0;unknown;349;1;0
49;services;divorced;secondary;0;1;1;unknown;272;1;0
55;services;divorced;secondary;1;1;0;unknown;208;1;0
45;admin.;single;secondary;206;1;0;unknown;193;1;0
47;services;divorced;secondary;164;0;0;unknown;212;1;0
42;technician;single;secondary;690;1;0;unknown;20;1;0
59;admin.;married;secondary;2343;1;0;unknown;1042;1;1
46;self-employed;married;tertiary;137;1;1;unknown;246;1;0
51;blue-collar;married;primary;173;1;0;unknown;529;2;0
56;admin.;married;secondary;45;0;0;unknown;1467;1;1
41;technician;married;secondary;1270;1;0;unknown;1389;1;1
46;management;divorced;secondary;16;1;1;unknown;188;2;0
57;retired;married;secondary;486;1;0;unknown;180;2;0
42;management;single;secondary;50;0;0;unknown;48;1;0
30;technician;married;secondary;152;1;1;unknown;213;2;0
60;admin.;married;secondary;290;1;0;unknown;583;1;0
60;blue-collar;married;unknown;54;1;0;unknown;221;1;0
57;entrepreneur;divorced;secondary;-37;0;0;unknown;173;1;0
36;management;married;tertiary;101;1;1;unknown;426;1;0
55;blue-collar;married;secondary;383;0;0;unknown;287;1;0
60;retired;married;tertiary;81;1;0;unknown;101;1;0
39;technician;married;secondary;0;1;0;unknown;203;1;0
46;management;married;tertiary;229;1;0;unknown;197;1;0
44;blue-collar;married;secondary;-674;1;0;unknown;257;1;0
53;blue-collar;married;primary;90;0;0;unknown;124;1;0
52;blue-collar;married;primary;128;1;0;unknown;229;1;0
59;blue-collar;married;primary;179;1;0;unknown;55;3;0
27;technician;single;tertiary;0;1;0;unknown;400;1;0
44;blue-collar;married;secondary;54;1;0;unknown;197;1;0
47;technician;married;tertiary;151;1;0;unknown;190;1;0
34;admin.;married;secondary;61;0;1;unknown;21;1;0
59;retired;single;secondary;30;1;0;unknown;514;1;0
45;management;married;tertiary;523;1;0;unknown;849;2;0
29;services;divorced;secondary;31;1;0;unknown;194;1;0
46;technician;divorced;secondary;79;0;0;unknown;144;1;0
56;self-employed;married;primary;-34;1;1;unknown;212;2;0
36;blue-collar;married;primary;448;1;0;unknown;286;1;0
59;retired;divorced;primary;81;1;0;unknown;107;1;0
44;blue-collar;married;secondary;144;1;0;unknown;247;2;0
41;admin.;married;secondary;351;1;0;unknown;518;1;0
33;management;single;tertiary;-67;1;0;unknown;364;1;0
59;management;divorced;tertiary;262;0;0;unknown;178;1;0
57;technician;married;primary;0;0;0;unknown;98;1;0
56;technician;divorced;unknown;56;1;0;unknown;439;1;0
51;blue-collar;married;secondary;26;1;0;unknown;79;1;0
34;admin.;married;unknown;3;1;0;unknown;120;3;0
43;services;married;secondary;41;1;1;unknown;127;2;0
52;technician;married;tertiary;7;0;1;unknown;175;1;0
33;technician;single;secondary;105;1;0;unknown;262;2;0
29;admin.;single;secondary;818;1;1;unknown;61;1;0
34;services;married;secondary;-16;1;1;unknown;78;1;0
31;blue-collar;married;secondary;0;1;0;unknown;143;1;0
55;services;married;secondary;2476;1;0;unknown;579;1;1
55;management;married;unknown;1185;0;0;unknown;677;1;0
32;admin.;single;secondary;217;1;0;unknown;345;1;0
38;technician;single;secondary;1685;1;0;unknown;185;1;0
55;admin.;single;secondary;802;1;1;unknown;100;2;0
28;unemployed;single;tertiary;0;1;0;unknown;125;2;0
23;blue-collar;married;secondary;94;1;0;unknown;193;1;0
32;technician;single;secondary;0;1;0;unknown;136;1;0
43;services;single;unknown;0;0;0;unknown;73;1;0
32;blue-collar;married;secondary;517;1;0;unknown;528;1;0
46;blue-collar;married;secondary;265;1;0;unknown;541;1;0
53;housemaid;divorced;primary;947;1;0;unknown;163;1;0
34;self-employed;single;secondary;3;1;0;unknown;301;1;0
57;unemployed;married;tertiary;42;0;0;unknown;46;1;0
37;blue-collar;married;secondary;37;1;0;unknown;204;1;0
59;blue-collar;married;secondary;57;1;0;unknown;98;1;0
33;services;married;secondary;22;1;0;unknown;71;1;0
56;blue-collar;divorced;primary;8;1;0;unknown;157;2;0
48;unemployed;married;secondary;293;1;0;unknown;243;1;0
43;services;married;primary;3;1;0;unknown;186;2;0
54;blue-collar;married;primary;348;1;0;unknown;579;2;0
51;blue-collar;married;unknown;-19;1;0;unknown;163;2;0
26;student;single;secondary;0;1;0;unknown;610;2;0
40;management;married;tertiary;-4;1;0;unknown;2033;1;0
39;management;married;secondary;18;1;0;unknown;85;1;0
50;technician;married;primary;139;0;0;unknown;114;2;0
41;services;married;secondary;0;1;0;unknown;114;2;0
51;blue-collar;married;unknown;1883;1;0;unknown;57;1;0
60;retired;divorced;secondary;216;1;0;unknown;238;1;0
52;blue-collar;married;secondary;782;1;0;unknown;93;3;0
48;blue-collar;married;secondary;904;1;0;unknown;128;2;0
48;services;married;unknown;1705;1;0;unknown;107;1;0
39;technician;single;tertiary;47;1;0;unknown;181;1;0
47;services;single;secondary;176;1;0;unknown;303;2;0
40;blue-collar;married;secondary;1225;1;0;unknown;558;5;0
45;technician;married;secondary;86;1;0;unknown;270;1;0
26;admin.;single;secondary;82;1;0;unknown;228;1;0
52;management;married;tertiary;271;1;0;unknown;99;1;0
54;technician;married;secondary;1378;1;0;unknown;240;1;0
54;admin.;married;tertiary;184;0;0;unknown;673;2;1
50;blue-collar;married;primary;0;0;0;unknown;233;3;0
35;blue-collar;married;secondary;0;1;0;unknown;1056;1;0
44;services;married;secondary;1357;1;1;unknown;250;1;0
53;entrepreneur;married;unknown;19;1;0;unknown;252;1;0
35;retired;single;primary;434;0;0;unknown;138;1;0
60;admin.;divorced;secondary;92;1;0;unknown;130;1;0
53;admin.;divorced;secondary;1151;1;0;unknown;412;1;0
48;unemployed;married;secondary;41;1;0;unknown;179;2;0
34;technician;married;secondary;51;1;0;unknown;19;2;0
54;services;married;secondary;214;1;0;unknown;458;2;0
51;management;married;secondary;1161;1;0;unknown;717;1;0
31;services;married;tertiary;37;1;0;unknown;313;1;0
35;technician;divorced;secondary;787;1;0;unknown;683;2;0
35;services;married;secondary;59;1;0;unknown;1077;1;0
38;technician;married;secondary;253;1;0;unknown;416;1;0
36;admin.;married;tertiary;211;1;0;unknown;146;2;0
58;retired;married;primary;235;1;0;unknown;167;1;0
40;services;divorced;unknown;4384;1;0;unknown;315;1;0
54;management;married;secondary;4080;0;0;unknown;140;1;0
34;blue-collar;single;secondary;53;1;1;unknown;346;1;0
31;management;single;tertiary;0;1;0;unknown;562;1;0
51;retired;married;secondary;2127;1;0;unknown;172;1;0
33;management;married;tertiary;377;1;0;unknown;217;1;0
55;management;married;tertiary;73;1;0;unknown;142;2;0
42;admin.;married;secondary;445;1;0;unknown;67;1;0
34;blue-collar;married;secondary;243;1;0;unknown;291;1;0
33;blue-collar;single;secondary;307;1;0;unknown;309;2;0
38;services;married;secondary;155;1;0;unknown;248;1;0
50;technician;divorced;tertiary;173;0;1;unknown;98;1;0
43;management;married;tertiary;400;1;0;unknown;256;1;0
61;blue-collar;divorced;primary;1428;1;0;unknown;82;2;0
47;admin.;married;secondary;219;1;0;unknown;577;1;0
48;self-employed;married;tertiary;7;1;0;unknown;286;1;0
44;blue-collar;married;secondary;575;1;0;unknown;477;1;0
35;student;single;unknown;298;1;0;unknown;611;2;0
35;services;married;secondary;0;1;0;unknown;471;1;0
50;services;married;secondary;5699;1;0;unknown;381;2;0
41;management;married;tertiary;176;1;1;unknown;42;1;0
41;management;married;tertiary;517;1;0;unknown;251;1;0
39;services;single;unknown;257;1;0;unknown;408;1;0
42;retired;married;secondary;56;1;0;unknown;215;1;0
38;blue-collar;married;secondary;-390;1;0;unknown;287;1;0
53;retired;married;secondary;330;1;0;unknown;216;2;0
59;housemaid;divorced;primary;195;0;0;unknown;366;2;0
36;services;married;secondary;301;1;0;unknown;210;1;0
54;blue-collar;married;primary;-41;1;0;unknown;288;1;0
40;technician;married;tertiary;483;1;0;unknown;168;1;0
47;unknown;married;unknown;28;0;0;unknown;338;2;0
53;unemployed;married;unknown;13;0;0;unknown;410;3;0
46;housemaid;married;primary;965;0;0;unknown;177;1;0
39;management;married;tertiary;378;1;1;unknown;127;2;0
40;unemployed;married;secondary;219;1;0;unknown;357;1;0
28;blue-collar;married;primary;324;1;0;unknown;175;1;0
35;entrepreneur;divorced;secondary;-69;1;0;unknown;300;1;0
55;retired;married;secondary;0;0;1;unknown;136;1;0
43;technician;divorced;unknown;205;1;0;unknown;1419;1;0
48;blue-collar;married;primary;278;1;0;unknown;125;2;0
58;management;married;unknown;1065;1;0;unknown;213;3;0
33;management;single;tertiary;34;1;0;unknown;27;1;0
36;blue-collar;married;unknown;1033;0;0;unknown;238;2;0
53;services;divorced;secondary;1467;1;0;unknown;124;1;0
47;blue-collar;married;primary;-12;1;0;unknown;18;1;0
31;services;married;secondary;388;1;0;unknown;730;2;0
57;entrepreneur;married;secondary;294;1;0;unknown;746;2;0
53;blue-collar;married;unknown;1827;0;0;unknown;121;1;0
55;blue-collar;married;primary;627;1;0;unknown;247;1;0
45;blue-collar;married;primary;25;1;0;unknown;40;1;0
53;admin.;divorced;secondary;315;1;0;unknown;181;2;0
37;blue-collar;married;primary;0;1;0;unknown;79;1;0
44;admin.;divorced;secondary;66;1;0;unknown;206;1;0
49;blue-collar;divorced;primary;-9;1;1;unknown;389;1;0
46;technician;married;secondary;349;1;1;unknown;127;1;0
43;entrepreneur;married;unknown;100;1;0;unknown;702;1;0
38;admin.;married;secondary;0;0;0;unknown;151;1;0
43;technician;married;secondary;434;1;0;unknown;117;1;0
49;management;married;tertiary;3237;1;0;unknown;232;3;0
42;management;married;unknown;275;0;0;unknown;408;2;0
22;blue-collar;single;secondary;0;1;0;unknown;179;2;0
40;management;married;tertiary;207;1;0;unknown;39;1;0
39;blue-collar;married;secondary;483;1;0;unknown;282;1;0
51;services;married;secondary;2248;1;0;unknown;714;2;0
49;admin.;married;secondary;428;1;0;unknown;50;1;0
53;blue-collar;married;secondary;0;1;1;unknown;181;1;0
34;services;single;secondary;0;1;0;unknown;142;1;0
33;technician;divorced;secondary;140;1;0;unknown;227;1;0
50;management;single;tertiary;297;1;0;unknown;119;1;0
39;blue-collar;married;primary;279;1;0;unknown;361;1;0
59;entrepreneur;divorced;secondary;901;1;0;unknown;73;3;0
30;technician;single;secondary;2573;1;0;unknown;67;2;0
36;services;married;secondary;143;1;1;unknown;350;1;0
40;blue-collar;married;secondary;475;1;0;unknown;332;2;0
53;blue-collar;married;secondary;70;1;0;unknown;611;2;0
34;management;single;tertiary;318;1;0;unknown;113;2;0
37;technician;married;secondary;275;1;0;unknown;132;1;0
42;management;divorced;tertiary;742;1;0;unknown;58;3;0
41;entrepreneur;married;primary;236;1;0;unknown;151;1;0
30;student;single;tertiary;25;1;0;unknown;89;2;0
37;management;single;tertiary;600;1;0;unknown;152;1;0
39;admin.;divorced;secondary;-349;1;0;unknown;611;2;0
41;blue-collar;married;primary;183;1;1;unknown;110;2;0
40;blue-collar;married;primary;0;1;0;unknown;463;1;0
42;management;single;tertiary;0;1;1;unknown;562;2;1
40;blue-collar;divorced;primary;0;1;0;unknown;962;1;0
57;technician;married;secondary;1078;1;0;unknown;10;4;0
56;entrepreneur;divorced;secondary;155;0;0;unknown;118;3;0
37;admin.;married;secondary;190;1;0;unknown;92;2;0
59;retired;married;secondary;319;1;0;unknown;143;3;0
39;services;divorced;secondary;-185;1;0;unknown;189;3;0
49;services;married;secondary;47;0;0;unknown;234;2;0
38;services;single;secondary;570;1;0;unknown;75;2;0
36;self-employed;married;tertiary;19;0;0;unknown;189;2;0
50;blue-collar;married;primary;61;1;0;unknown;621;3;0
41;admin.;married;secondary;-62;1;1;unknown;55;2;0
54;technician;married;tertiary;258;0;0;unknown;310;4;0
58;blue-collar;married;primary;76;1;0;unknown;156;2;0
30;blue-collar;single;secondary;0;1;0;unknown;5;2;0
33;admin.;single;secondary;352;1;0;unknown;225;2;0
47;admin.;married;secondary;368;1;0;unknown;125;2;0
50;technician;single;tertiary;339;1;0;unknown;2;3;0
32;blue-collar;married;secondary;1331;1;0;unknown;286;2;0
40;self-employed;married;secondary;672;1;0;unknown;164;2;0
37;management;married;tertiary;58;1;0;unknown;98;2;0
54;technician;single;unknown;447;1;0;unknown;742;2;0
24;student;single;secondary;423;1;0;unknown;226;3;0
54;management;married;tertiary;0;0;0;unknown;120;2;0
34;technician;married;secondary;19;1;0;unknown;362;4;0
56;technician;divorced;primary;13;1;0;unknown;357;2;0
31;blue-collar;single;secondary;3;1;0;unknown;200;2;0
24;student;single;secondary;82;1;0;unknown;204;2;0
42;blue-collar;divorced;primary;28;1;0;unknown;126;3;0
57;technician;married;secondary;792;1;0;unknown;65;2;0
42;blue-collar;married;unknown;408;1;0;unknown;107;2;0
51;admin.;married;secondary;531;1;0;unknown;267;2;0
57;retired;married;secondary;211;1;0;unknown;248;2;0
36;services;single;secondary;62;1;0;unknown;215;2;0
53;services;married;unknown;257;1;0;unknown;209;2;0
50;technician;married;secondary;1234;1;0;unknown;205;2;0
54;management;married;tertiary;313;1;0;unknown;83;2;0
55;blue-collar;married;secondary;89;1;0;unknown;106;3;0
44;blue-collar;married;secondary;129;1;1;unknown;189;2;0
43;management;married;unknown;0;1;0;unknown;105;2;0
56;admin.;married;secondary;353;1;0;unknown;106;2;0
54;technician;married;unknown;851;1;0;unknown;108;2;0
55;services;divorced;primary;96;1;1;unknown;311;2;0
37;services;divorced;secondary;398;1;1;unknown;214;2;0
33;admin.;single;tertiary;193;0;0;unknown;132;2;0
46;admin.;married;secondary;-358;1;0;unknown;358;2;0
36;blue-collar;married;secondary;539;1;1;unknown;453;2;0
51;technician;single;secondary;0;1;0;unknown;364;2;0
40;retired;single;primary;0;0;0;unknown;136;2;0
42;blue-collar;married;secondary;490;1;0;unknown;386;2;0
51;blue-collar;married;secondary;0;1;0;unknown;173;2;0
49;blue-collar;married;unknown;403;1;0;unknown;241;2;0
48;management;married;secondary;161;1;0;unknown;224;3;0
32;technician;divorced;tertiary;2558;0;0;unknown;148;2;0
31;admin.;single;secondary;98;1;0;unknown;196;2;0
55;management;single;tertiary;115;0;0;unknown;111;4;0
40;blue-collar;single;secondary;436;1;0;unknown;231;3;0
47;technician;married;tertiary;831;1;0;unknown;316;3;0
57;technician;married;unknown;206;1;0;unknown;216;3;0
41;blue-collar;married;secondary;290;1;0;unknown;240;2;0
48;blue-collar;married;secondary;1;0;0;unknown;669;3;0
42;blue-collar;married;unknown;57;1;0;unknown;425;2;0
30;blue-collar;single;secondary;-457;1;0;unknown;143;2;0
58;management;single;tertiary;1387;1;0;unknown;174;5;0
45;management;divorced;tertiary;24598;1;0;unknown;313;3;0
49;blue-collar;married;secondary;30;1;0;unknown;135;4;0
42;admin.;single;secondary;1022;1;0;unknown;146;2;0
53;technician;married;secondary;56;1;1;unknown;152;2;0
51;admin.;single;secondary;-2;0;0;unknown;402;3;0
32;services;single;secondary;121;1;0;unknown;213;2;0
41;blue-collar;single;secondary;842;1;0;unknown;144;3;0
43;management;divorced;secondary;693;1;0;unknown;124;3;0
40;blue-collar;divorced;secondary;-333;1;0;unknown;183;2;0
50;blue-collar;married;primary;1533;1;0;unknown;325;2;0
34;management;married;tertiary;46;1;0;unknown;39;4;0
53;services;married;unknown;18;0;0;unknown;503;2;0
45;technician;married;secondary;44;1;0;unknown;95;4;0
39;blue-collar;married;primary;-100;1;0;unknown;680;2;0
44;services;married;tertiary;510;1;0;unknown;421;4;0
55;management;married;tertiary;685;1;0;unknown;174;3;0
46;management;single;tertiary;187;1;0;unknown;113;2;0
45;blue-collar;married;secondary;66;1;0;unknown;808;2;0
34;admin.;married;secondary;560;1;0;unknown;198;3;0
36;blue-collar;married;secondary;0;1;0;unknown;195;2;0
59;unknown;divorced;unknown;27;0;0;unknown;347;3;0
31;admin.;single;secondary;12;1;0;unknown;208;2;0
44;blue-collar;single;secondary;34;1;0;unknown;404;4;0
33;entrepreneur;single;tertiary;1068;1;0;unknown;396;2;0
40;blue-collar;married;secondary;211;1;0;unknown;216;4;0
46;admin.;single;tertiary;377;1;0;unknown;98;2;0
48;management;married;tertiary;263;1;0;unknown;350;2;0
42;services;married;secondary;1263;1;0;unknown;114;2;0
27;services;married;secondary;8;1;0;unknown;88;3;0
48;admin.;married;secondary;126;1;1;unknown;379;2;0
59;admin.;married;secondary;230;1;0;unknown;190;3;0
46;technician;married;tertiary;841;1;0;unknown;158;1;0
38;admin.;divorced;secondary;308;1;0;unknown;102;1;0
43;management;divorced;tertiary;1;1;0;unknown;306;1;0
38;admin.;divorced;tertiary;86;1;0;unknown;218;1;0
23;student;single;secondary;157;1;0;unknown;54;1;0
34;services;married;secondary;22;1;0;unknown;344;1;0
38;admin.;married;secondary;46;1;1;unknown;195;1;0
37;blue-collar;married;secondary;1293;0;0;unknown;652;1;0
25;admin.;single;secondary;122;1;0;unknown;286;1;0
48;blue-collar;married;unknown;131;1;0;unknown;189;1;0
49;blue-collar;single;secondary;143;1;0;unknown;83;1;0
38;admin.;single;secondary;393;0;0;unknown;184;2;0
43;blue-collar;married;primary;98;1;0;unknown;235;1;0
33;management;married;tertiary;0;1;0;unknown;290;1;0
55;blue-collar;married;secondary;224;1;0;unknown;232;1;0
38;blue-collar;married;secondary;757;1;0;unknown;133;1;0
49;services;married;secondary;245;1;1;unknown;318;1;0
40;management;married;secondary;8486;0;0;unknown;260;3;0
43;admin.;married;unknown;350;0;0;unknown;437;1;0
38;blue-collar;married;secondary;20;1;0;unknown;402;1;0
58;services;married;secondary;1667;1;1;unknown;85;1;0
57;technician;married;unknown;345;1;0;unknown;125;1;0
32;unemployed;married;secondary;10;1;0;unknown;501;4;0
56;management;married;tertiary;830;1;1;unknown;1201;1;1
58;blue-collar;divorced;unknown;29;1;0;unknown;253;1;0
60;retired;divorced;secondary;545;1;0;unknown;1030;1;1
37;technician;married;tertiary;8730;1;0;unknown;149;1;0
46;technician;divorced;tertiary;477;1;0;unknown;114;1;0
27;admin.;married;secondary;4;1;0;unknown;243;1;0
43;blue-collar;married;secondary;1205;1;0;unknown;769;2;0
32;technician;single;secondary;0;1;1;unknown;135;3;0
40;admin.;single;secondary;263;1;0;unknown;231;1;0
38;admin.;married;secondary;1;0;0;unknown;76;1;0
34;blue-collar;married;secondary;283;0;1;unknown;199;1;0
47;blue-collar;married;primary;206;1;0;unknown;152;1;0
42;housemaid;married;primary;17;1;0;unknown;124;1;0
48;technician;married;secondary;141;1;1;unknown;424;1;0
29;self-employed;single;tertiary;16;1;0;unknown;43;1;0
50;services;married;secondary;206;1;0;unknown;154;1;0
52;technician;married;unknown;7;0;0;unknown;203;2;0
50;management;married;tertiary;0;0;0;unknown;326;1;0
58;retired;married;tertiary;0;0;0;unknown;393;1;0
46;blue-collar;divorced;primary;1927;1;0;unknown;241;3;0
38;technician;married;secondary;284;1;0;unknown;483;1;0
46;blue-collar;married;secondary;1660;1;0;unknown;259;1;0
32;services;single;secondary;406;1;0;unknown;227;1;0
51;blue-collar;married;primary;230;1;0;unknown;673;1;0
39;admin.;single;secondary;-25;1;0;unknown;576;1;0
48;admin.;married;secondary;182;1;0;unknown;180;2;0
36;entrepreneur;married;tertiary;1169;1;0;unknown;168;2;0
34;admin.;divorced;secondary;67;1;0;unknown;90;1;0
40;technician;married;secondary;77;0;0;unknown;505;1;0
43;unemployed;married;secondary;0;1;0;unknown;245;1;0
52;blue-collar;divorced;primary;55;1;1;unknown;186;1;0
33;technician;married;secondary;72;1;0;unknown;623;1;0
49;management;single;tertiary;163;1;0;unknown;496;3;0
32;management;single;tertiary;151;1;0;unknown;118;1;0
39;admin.;single;secondary;113;1;0;unknown;342;1;0
40;blue-collar;married;secondary;0;1;0;unknown;225;1;0
38;technician;single;tertiary;9;1;0;unknown;185;3;0
43;management;married;secondary;375;1;0;unknown;196;2;0
39;services;married;secondary;1142;1;0;unknown;276;1;0
54;blue-collar;married;primary;2102;1;0;unknown;76;1;0
38;technician;single;tertiary;4325;1;0;unknown;87;1;0
40;blue-collar;married;secondary;217;1;0;unknown;195;1;0
55;admin.;married;secondary;131;1;0;unknown;744;1;0
42;management;married;tertiary;1680;1;0;unknown;765;1;0
39;blue-collar;married;secondary;0;1;0;unknown;262;1;0
40;blue-collar;married;primary;46;1;0;unknown;119;1;0
32;blue-collar;married;secondary;320;1;0;unknown;198;2;0
55;admin.;married;secondary;183;1;0;unknown;150;1;0
45;blue-collar;married;secondary;39;0;0;unknown;241;1;0
35;management;single;tertiary;560;1;0;unknown;181;1;0
58;technician;divorced;secondary;469;0;0;unknown;196;1;0
35;admin.;married;secondary;530;1;0;unknown;149;1;0
49;services;married;primary;61;1;0;unknown;246;1;0
34;technician;single;tertiary;242;1;0;unknown;112;1;0
36;blue-collar;married;secondary;139;1;0;unknown;309;2;0
24;self-employed;single;secondary;0;1;0;unknown;278;1;0
34;technician;married;secondary;367;1;0;unknown;140;1;0
51;admin.;divorced;secondary;228;1;0;unknown;136;1;0
39;technician;single;unknown;45248;1;0;unknown;1623;1;1
50;self-employed;married;unknown;-84;1;0;unknown;101;1;0
32;services;single;secondary;310;1;0;unknown;144;1;0
42;blue-collar;married;unknown;132;1;0;unknown;238;1;0
50;technician;married;secondary;797;1;0;unknown;354;1;0
40;services;married;secondary;71;0;0;unknown;79;1;0
46;management;divorced;unknown;2;1;0;unknown;187;1;0
37;management;married;tertiary;231;1;1;unknown;451;2;0
34;blue-collar;married;secondary;270;1;1;unknown;159;1;0
44;blue-collar;married;secondary;274;1;1;unknown;409;1;0
40;admin.;single;secondary;-109;1;1;unknown;170;1;0
37;technician;married;secondary;1;1;0;unknown;608;1;1
33;blue-collar;single;secondary;-60;0;0;unknown;243;1;0
35;blue-collar;married;secondary;89;1;0;unknown;145;2;0
58;blue-collar;divorced;secondary;-11;0;0;unknown;112;1;0
39;blue-collar;married;primary;0;1;0;unknown;262;2;0
43;blue-collar;married;secondary;-509;1;0;unknown;124;1;0
39;unemployed;married;primary;408;1;0;unknown;53;1;0
36;services;single;primary;58;1;0;unknown;134;1;0
57;retired;single;secondary;1640;0;1;unknown;204;4;0
36;admin.;single;secondary;20;1;0;unknown;186;1;0
50;blue-collar;married;primary;71;1;0;unknown;678;1;0
55;blue-collar;married;secondary;52;1;0;unknown;182;1;0
44;self-employed;married;tertiary;292;1;0;unknown;162;1;0
44;services;divorced;secondary;424;1;0;unknown;27;1;0
39;housemaid;single;primary;109;1;0;unknown;699;3;0
46;blue-collar;married;unknown;1044;1;0;unknown;43;1;0
39;blue-collar;married;secondary;983;1;0;unknown;97;1;0
34;admin.;married;secondary;869;0;0;unknown;1677;1;1
40;blue-collar;married;primary;668;1;0;unknown;283;2;0
50;management;married;tertiary;964;1;0;unknown;323;1;0
31;management;single;secondary;301;1;0;unknown;82;1;0
37;admin.;single;secondary;140;1;0;unknown;310;1;0
39;management;single;secondary;1877;1;0;unknown;185;1;0
51;blue-collar;married;primary;1127;1;0;unknown;47;1;0
41;technician;married;secondary;871;1;0;unknown;145;1;0
41;technician;married;secondary;767;1;1;unknown;204;1;0
43;blue-collar;married;secondary;0;0;0;unknown;187;1;0
30;services;single;secondary;209;1;0;unknown;30;2;0
54;management;divorced;primary;0;0;0;unknown;472;1;0
43;blue-collar;divorced;secondary;110;1;1;unknown;448;1;0
59;management;divorced;tertiary;-76;1;1;unknown;264;1;0
47;technician;married;unknown;178;1;0;unknown;169;1;0
